Component,Source,Description,Density,TotalSulfur,Viscosity,PourPoint,FlashPoint,IBP,RVP,RON,Mercaptan,Oxygenate,Aromatic,Benzene,BasePrice,BGC-without-VA,VA-without-BGC,Without-BGC&VA,BGC&VA,DateModified
AW402,Bandar Abbas,,0.795,50,1,-40,44,150,,,,,,,36671,52637.18787,50417.13118,49370.73504,53683.58401,1404-05-01
AW402,Isfahan,,0.788,900,1,-40,40,150,,,,,,,36671,53457.95334,52430.41118,51384.01504,54504.34949,1404-05-01
AW402,Kermanshah,,0.795,50,1,-40,44,150,,,,,,,36671,55945.72249,53881.21118,52834.81504,56992.11864,1404-05-01
AW404,Shiraz,,0.76,50,,,,90,,,,20,,,33587,51438.80087,48530.87376,47549.77982,52419.89482,1404-05-01
AW410,Shiraz,,0.685,50,,,,35,,,,20,,,34221,52348.60755,49385.78939,48386.17597,53348.22097,1404-05-01
AW502,Isfahan,,0.805,100,,,,180,,,,,,,38417,53887.93691,52851.43864,51795.92205,54943.45349,1404-05-01
AW503,Isfahan,,0.825,5600,,,,180,,,,,,,38249,52945.27754,51928.41388,50892.89217,53980.79924,1404-05-01
Base Oil,Eshtehard,,0.867,6000,27.2,11.79,185,,,,,,,,44000,48253.8,49230.6,48253.8,49230.6,1404-05-01
Blending Naphtha,Bandar Abbas,,0.78,1800,1,-40,40,150,,,,20,,,43875,48822.77,46756.2575,45782.2325,49796.795,1404-05-01
C.O.,Abadan,,1.04,40000,60,13,169,,,,,,,,28880,34424.1936,33445.1616,32804.0256,35065.3296,1404-05-01
C5+,Pars,,0.67,1000,,,,30,,,,20,,,33882,38096.33084,38848.51124,38096.33084,38848.51124,1404-05-01
CSO,Arak,,1.05,19843,20.8,-15.85,65,,,,,,,,29663,34812.67581,34247.59566,33589.07706,35471.19441,1404-05-01
CSO,Arak,High Ash,1.05,19843,20.8,-15.85,65,,,,,,,,23731,28330.27897,27878.20342,27351.37522,28857.10717,1404-05-01
Cut II General,MTA,,0.8,2000,1.5,-15,50,,,,,,,,28584,34519.40549,35169.28829,34519.40549,35169.28829,1404-05-01
Heavy Naphtha,Abadan,,0.755,350,1,,,93.5,,,,20,,,35844,42062.31968,40847.20808,40051.47128,42858.05648,1404-05-01
Heavy Naphtha,Bandar Abbas,,0.755,50,1,,,90,,,,200,,,35844,40162.10048,38473.84808,37678.11128,40957.83728,1404-05-01
Heavy Naphtha,Isfahan,,0.732,330,1,,,47,,,,20,,,35844,41483.52728,40702.12808,39906.39128,42279.26408,1404-05-01
Heavy Naphtha,Shiraz,,0.755,1200,1,,,70,,,,,,,35844,42004.38328,39645.84808,38850.11128,42800.12008,1404-05-01
Heavy Naphtha,Tehran,,0.74,340,1,,,80,,,,20,,,35844,42133.787,40630.84808,39835.11128,42929.5238,1404-05-01
Iso Feed,Isfahan,,0.91,18000,20,30,190,,,,,,,,33947,39377.96914,38637.92454,37884.30114,40131.59254,1404-05-01
Iso Feed,Shiraz,,0.91,18000,20,30,190,,,,,,,,33947,40146.23714,37912.52454,37158.90114,40899.86054,1404-05-01
Iso Feed,Tehran,,0.92,20000,20,30,190,,,,,,,,33947,40351.48225,38928.08454,38174.46114,41105.10565,1404-05-01
Iso Recycle,Bandar Abbas,,0.851,200,16.37,33,190,,,,,,,,40427,45144.58984,43240.47814,42342.99874,46042.06924,1404-05-01
Iso Recycle,Isfahan,,0.851,250,16.37,21,190,,,,,,,,40427,46044.00274,45162.69414,44265.21474,46941.48214,1404-05-01
Iso Recycle,Shiraz,,0.851,270,16.37,33,190,,,,,,,,40427,46882.57474,44222.47814,43324.99874,47780.05414,1404-05-01
Iso Recycle,Shiraz-2,,0.851,270,16.37,33,190,,,,,,,,40427,39602.58687,40410.31833,39602.58687,40410.31833,1404-05-01
Iso Recycle,Tehran,,0.851,250,16.37,33,190,,,,,,,,40427,47264.02225,45568.91814,44671.43874,48161.50165,1404-05-01
Light Naphtha,Abadan,,0.685,100,,,,35,,,,20,,,35844,42050.95968,40835.84808,40040.11128,42846.69648,1404-05-01
Light Naphtha,Bandar Abbas,,0.69,50,,,,35,,,,20,,,35844,40162.10048,38473.84808,37678.11128,40957.83728,1404-05-01
Light Naphtha,Shiraz,,0.685,100,,,,35,,,,20,,,37636,44579.81432,42103.36552,41267.84632,45415.33352,1404-05-01
Light Naphtha,Tehran,,0.705,85,,,,40,,,,20,,,35844,41581.787,40078.84808,39283.11128,42377.5238,1404-05-01
Lube Cut,Bandar Abbas,,0.935,25500,80,42,230,,,,,,,,26701,30111.41592,28853.79882,28261.03662,30704.17812,1404-05-01
MT308,MTA,,0.81,3400,2,-15,60,,,,,,,,28584,34519.40549,35169.28829,34519.40549,35169.28829,1404-05-01
MT404,MTA,,0.704,1000,,,,38,,,,20,,,29274,35209.40549,35859.28829,35209.40549,35859.28829,1404-05-01
MT405,MTA,,0.785,2900,1,-15,40,150,,,,,,,28584,34519.40549,35169.28829,34519.40549,35169.28829,1404-05-01
Pyrolysis Gasoline,Arak,,0.8262,129.1,,,,45,42.75,,,,61.14,27.86,,,,,,
Residue,Kermanshah,,0.935,24500,70,9,75,,,,,,,,27073,34374.98926,33189.19186,32588.17126,34976.00986,1404-05-01
Vacuum Bottom,Abadan,,1.01,38000,46000,45,250,,,,,,,,25071,31475.05742,31093.97822,30537.40202,32031.63362,1404-05-01
Vacuum Bottom,Arak,,1.01,39000,80500,45,250,,,,,,,,22665,27951.0023,28454.1653,27951.0023,28454.1653,1404-05-01
Vacuum Bottom,Bandar Abbas,,1.03,40000,241000,45,280,,,,,,,,26368,29754.46656,28512.53376,27927.16416,30339.83616,1404-05-01
Vacuum Bottom,Isfahan,,1.013,35000,55550,45,250,,,,,,,,27130,32376.8806,31785.4466,31183.1606,32979.1666,1404-05-01
Vacuum Bottom,Shiraz,,1.019,33000,118365,45,250,,,,,,,,24158,28225.58796,27964.68156,27428.37396,28761.89556,1404-05-01
Vacuum Bottom,Tabriz,,1.01,35000,31000,45,250,,,,,,,,24497,30295.58214,30839.41554,30295.58214,30839.41554,1404-05-01
Vacuum Bottom,Tehran,,1.01,37000,50000,45,250,,,,,,,,26177,32601.39475,31503.79314,30922.66374,33182.52415,1404-05-01
